Rank,Movie,Release Date,Distributor,Genre,MPAA,2015 Gross,Tickets Sold,account_name,handle_name,IMDB Rating
1,Star Wars Ep. VII: The Force Awakens,12/18/15,Walt Disney,Adventure,PG-13,742208942,88043765,Star Wars,starwars,8.4
2,Jurassic World,6/12/15,Universal,Action,PG-13,652198010,77366311,#JurassicWorld,JurassicPark,7.1
3,The Avengers: Age of Ultron,5/1/15,Walt Disney,Action,PG-13,459005868,54449094,The Avengers,Avengers,7.6
4,Inside Out,6/19/15,Walt Disney,Adventure,PG,356461711,42284900,#InsideOut,PixarInsideOut,8.3
5,Furious 7,4/3/15,Universal,Action,PG-13,351032910,41640914,#Furious7,FastFurious,7.3
6,American Sniper,12/25/14,Warner Bros.,Drama,R,347897084,41268930,American Sniper,AmericanSniper,7.3
7,Minions,7/10/15,Universal,Comedy,PG,336045770,39863080,#Minions,Minions,6.5
8,The Hunger Games: Mockingjay - Part 2,11/20/15,Lionsgate,Thriller/Suspense,PG-13,274185395,32524957,Mockingjay - Part 2,TheHungerGames,7
9,The Martian,10/2/15,20th Century Fox,Thriller/Suspense,PG-13,225910757,26798429,The Martian Movie,MartianMovie,8.1
10,Cinderella,3/13/15,Walt Disney,Drama,PG,201151353,23861370,#Cinderella,CinderellaMovie,7
11,Spectre,11/6/15,Sony Pictures,Action,PG-13,197833291,23467768,James Bond,007,6.9
12,Mission: Impossible - Rogue Nation,7/31/15,Paramount Pictures,Action,PG-13,195042377,23136699,Mission: Impossible,MissionFilm,7.5
13,Pitch Perfect 2,5/15/15,Universal,Comedy,PG-13,183785415,21801354,#PitchPerfect2,PitchPerfect,6.5
14,Ant-Man,7/17/15,Walt Disney,Action,PG-13,180202163,21376294,Ant-Man,AntMan,7.4
15,Hotel Transylvania 2,9/25/15,Sony Pictures,Comedy,PG,168774344,20020681,Hotel Transylvania,HotelT,6.8
16,Fifty Shades of Grey,2/13/15,Universal,Drama,R,166167230,19711415,Fifty Shades of Grey,FiftyShades,4.1
17,The SpongeBob Movie: Sponge Out of Water,2/6/15,Paramount Pictures,Comedy,PG,162994032,19334997,SpongeBob Movie,SpongeBobMovie,6
18,Straight Outta Compton,8/14/15,Universal,Drama,R,161058685,19105419,StraightouttaCompton,ComptonMovie,8
19,San Andreas,5/29/15,Warner Bros.,Adventure,PG-13,155190832,18409351,San Andreas ,SanAndreasMovie,6.1
20,Mad Max: Fury Road,5/15/15,Warner Bros.,Action,R,153636354,18224953,Mad Max Movie,MadMaxMovie,8.2
21,The Divergent Series: Insurgent,3/20/15,Lionsgate,Action,PG-13,130179072,15442357,Divergent Series,DivergentSeries,6.3
22,The Peanuts Movie,11/6/15,20th Century Fox,Comedy,G,128763058,15274384,The Peanuts Movie,PeanutsMovie,7.3
23,The Good Dinosaur,11/25/15,Walt Disney,Adventure,PG,114766932,13614108,The Good Dinosaur,TheGoodDinosaur,6.9
24,Spy!,6/5/15,20th Century Fox,Comedy,R,110825712,13146585,Spy,SpyTheMovieUK,7.1
25,Trainwreck,7/17/15,Universal,Comedy,R,110038130,13053158,#Trainwreck,TrainwreckMovie,6.4
26,Creed,11/25/15,Warner Bros.,Drama,PG-13,103122271,12232772,#CREED,creedmovie,8
27,Daddy's Home,12/25/15,Paramount Pictures,Comedy,PG-13,93889861,11137587,Daddy's Home Movie,DaddysHome,6.4
28,Get Hard,3/27/15,Warner Bros.,Comedy,R,90411453,10724964,Get Hard,gethardmovie,6.1
29,Terminator: Genisys,7/1/15,Paramount Pictures,Action,PG-13,89760956,10647800,Terminator Genisys,Terminator,6.6
30,Taken 3,1/9/15,20th Century Fox,Action,PG-13,89256424,10587950,Taken 3,TakenMovies,6
31,Maze Runner: The Scorch Trials,9/18/15,20th Century Fox,Thriller/Suspense,PG-13,81660593,9686903,The Scorch Trials,MazeRunnerMovie,6.4
32,Ted 2,6/26/15,Universal,Comedy,R,81284830,9642328,Ted,WhatTedSaid,6.4
33,Goosebumps,10/16/15,Sony Pictures,Horror,PG,79370088,9415194,Goosebumps,GoosebumpsMovie,6.4
34,Pixels,7/24/15,Sony Pictures,Comedy,PG-13,78747585,9341350,Pixels,PixelsMovie,5.7
35,Paddington,1/16/15,Weinstein Co.,Adventure,PG,76223578,9041942,Paddington,paddingtonbear,7.2
36,The Intern,9/25/15,Warner Bros.,Comedy,PG-13,75711361,8981181,The Intern,TheInternMovie,7.2
37,Paul Blart: Mall Cop 2,4/17/15,Sony Pictures,Comedy,PG,71038190,8426831,Paul Blart Mall Cop,PaulBlartMovie,4.4
38,Bridge of Spies,10/16/15,Walt Disney,Thriller/Suspense,PG-13,70610153,8376056,Bridge Of Spies,BridgeofSpies,7.7
39,War Room,8/28/15,Sony Pictures,Drama,PG,67790117,8041532,War Room,warroommovie,6.3
40,Alvin and the Chipmunks: The Road Chip,12/18/15,20th Century Fox,Adventure,PG,67646950,8024549,Alvin Movies,AlvinMovies,4.1
41,Magic Mike XXL,7/1/15,Warner Bros.,Comedy,R,66013057,7830730,Magic Mike,magicmikemovie,5.7
42,The Wedding Ringer,1/16/15,Sony Pictures,Comedy,R,64460211,7646525,The Wedding Ringer,WeddingRinger,6.7
43,Black Mass,9/18/15,Warner Bros.,Drama,R,62575678,7422974,Black Mass,BlackMassMovie,7
44,Sisters,12/18/15,Universal,Comedy,R,61884110,7340938,#SistersMovie,SistersMovie,6.3
45,The Imitation Game,11/28/14,Weinstein Co.,Drama,PG-13,60653053,7194905,The Imitation Game,ImitationGame,8.1
46,Vacation,7/29/15,Warner Bros.,Comedy,R,58884188,6985075,Vacation,VacationFilm,6.2
47,The Perfect Guy,9/11/15,Sony Pictures,Thriller/Suspense,PG-13,57017904,6763689,The Perfect Guy,PerfectGuyMovie,5.4
48,Fantastic Four,8/7/15,20th Century Fox,Action,PG-13,56117548,6656885,Fantastic Four,FantasticFour,4.3
49,Focus,2/27/15,Warner Bros.,Romantic Comedy,PG-13,53862963,6389438,Focus Movie UK,FocusMovieUK,6.6
50,Southpaw,7/24/15,Weinstein Co.,Drama,R,52421953,6218499,SOUTHPAW,SouthpawMovie,7.5
