Date,Screen Name,Full Name,Tweet Text,Tweet ID,App,Followers,Follows,Retweets,Favorites,Verfied,User Since,Location,Bio,Profile Image,Google Maps
1/30/2016,@JAnderlot,Jack Anderlot,Saw the Star Wars movie!! It was awesome!!! #StarWars #TheForceAwakens https://t.co/T8enAU0kaD,693600851370360832,Twitter for iPhone,46,182,0,3,No,10/26/2015,,"HI! My Instagram is @Jack_a_Anderlot , Thanks For checking out my Twitter",View,
1/30/2016,@D_Greenwood01,David Greenwood,Too soon? @Burnt_Out_Darth @SithMaster501st @TheGrib3 @LordPalpatine @VeryLonelyLuke #StarWars #TeamDarkside https://t.co/KKXzpJEgjp,693602271595225088,Twitter for Android,928,2081,4,10,No,8/5/2014,,"Biologist - Microbiology, Pearl Jam, atheism and real ale! UK",View,
1/30/2016,@StarWarsCop,P.C. De Quintal,In case anyone missed it. Chewbacca was seen at the #NHLAllStar game. #StarWars #NHLBREAKAWAYburns https://t.co/yk0eNdSB5T,693602429041012736,Twitter for Android,1576,796,2,8,No,2/12/2014,Toronto,"12 Division, TPS-School Resource Officer. I run a bike rodeo program for kids as seen on TVO Kids. Not monitored 24/7, Call 416-808-2222 or 911 in an emergency",View,
1/30/2016,@icecoldpenguin,Teresa Delgado,Here we go more #ittybitty pictures this time product photos of the new #starwars ones fir… https://t.co/1029t5swDs https://t.co/3f4cxfG6RW,693602596918030336,IFTTT,3194,1273,1,6,No,2/23/2009,"30.13826,-97.470236","Star wars fangirl for life! I tweet geek! star wars, disney, ponies and more! podcaster for fangirls going rogue, star wars bookworms and disney vault talk",View,
1/30/2016,@icecoldpenguin,Teresa Delgado,Hello #bb8 #bb8awesome #ittybitty #hallmark @hallmark #starwars #theforceawakens https://t.co/FtBWxoaHH8 https://t.co/0O6zchkOTp,693602754535751680,IFTTT,3194,1273,1,8,No,2/23/2009,"30.13826,-97.470236","Star wars fangirl for life! I tweet geek! star wars, disney, ponies and more! podcaster for fangirls going rogue, star wars bookworms and disney vault talk",View,
1/30/2016,@icecoldpenguin,Teresa Delgado,Because #ewoks!!! #starwars #ittybittys #hallmark @hallmark https://t.co/fjU5pnsMTU https://t.co/1aGPjqu4lU,693602904473767936,IFTTT,3194,1273,2,12,No,2/23/2009,"30.13826,-97.470236","Star wars fangirl for life! I tweet geek! star wars, disney, ponies and more! podcaster for fangirls going rogue, star wars bookworms and disney vault talk",View,
1/30/2016,@embiguous,the stylish geek,Being a tourist in Hollywood today! #StarWars https://t.co/7wOwjXhsRq,693603577093185536,Twitter for iPhone,2125,564,0,8,No,1/23/2009,"Bay Area, California","I write a geeky style blog, love Star Wars, video games, corgis, cons, and cosplay! F* cancer!",View,
1/30/2016,@ohcatrina,Catrina Dennis,RESISTANCE #starwars https://t.co/tKmAbRmP81,693603765954318336,Twitter for Android,9483,1650,1,13,No,3/4/2012,youtube.com/0hcatrina,"Host, Actress, Writer • as seen on @moviepilotnews @womanupshow @TheMarvelReport @fangirl_ND & more • @ParachuteTV1's #ForceFangirl! #hireme #comics #scifi",View,
1/30/2016,@xharajukubunnyx,Kelsey ꒰*✪௰✪ૢ꒱,Ready for my BB-date 😉 Going to see #TheForceAwakens for the 2nd time! I can't wait to cosplay #Rey ✨ #StarWars #BB8 https://t.co/mxZXLNmkjV,693604814706462721,Twitter for iPhone,3496,774,3,19,No,7/1/2009,Jakku,✨✝2️⃣2️⃣♌️ Magical Girl! Cosplayer! Sailor Moon & Disney Obsessed! 日本語を少し話します！Instagram:harajukubunny https://t.co/MZJtZvv9Ny✨,View,
1/30/2016,@DaisyDaily,Daisy Daily,And that ladies and gentle men what #LighSaber sounds like #daisyridley #starwars... (Vine by @bellasaylor_17) https://t.co/GXF0dHO2UZ,693604958252462080,Vine for Android,1673,793,20,40,No,12/30/2015,No DMs please,"Daisy Ridley Daily & Rey :) The Best Vines, Gifs, Pics...We/Star Wars will never be the same! #DailyDaisy #ReyAwakens #VoteDaisyRidley #KCA",View,
1/30/2016,@tenorbuds,Markell Bailey,I love Poe Dameron 😂 #StarWars https://t.co/ZQGqEYKnYg,693605775965446144,Twitter for Android,67105,65710,3,23,No,8/26/2011,,Actor and Singer l Fulfill Your Dreams l Instagram / Vine: @tenorbuds l https://t.co/zU5xDoR9rO,View,
1/30/2016,@FanboyFlicks,Mark of the Fanboy,How BAD is the Star Wars Holiday Special? #starwars #badmovies https://t.co/FTBantlWGu,693605870488424450,Google,1690,116,6,27,No,3/14/2012,"Ontario, Canada","Vlogger of movies...mostly the bad ones, because somebody's gotta do it. https://t.co/gdlecLUrBK",View,
1/30/2016,@Crazy4ComicCon,Tony B Kim,WIP: Top of the Star Destroyer details getting close to being finished... #starwars https://t.co/ATcy9oUO1F,693606660850319360,Twitter for iPhone,10323,343,1,9,No,6/16/2010,Orange County and beyond...,"HOST * BLOGGER * BRAND BUILDER What's new, best or weird at Comic Cons & geek culture. Podcaster at @RadioForGeeks and @DCTVPodcasts. Next: Portland Comic Con",View,
1/30/2016,@ohcatrina,Catrina Dennis,Family photo #starwars https://t.co/NMQzRY3XQ3,693606965507850240,Twitter for Android,9483,1650,1,5,No,3/4/2012,youtube.com/0hcatrina,"Host, Actress, Writer • as seen on @moviepilotnews @womanupshow @TheMarvelReport @fangirl_ND & more • @ParachuteTV1's #ForceFangirl! #hireme #comics #scifi",View,
1/30/2016,@ClassicStarWars,Classic Star Wars,#StarWars Kenner #Ewok Battle Wagon instruction sheet https://t.co/the3mlxUYQ,693607147993591808,TweetDeck,79458,623,2,14,No,12/22/2012,"A Galaxy Far, Far Away","Classic Original Trilogy, Movies, Cartoons, Holiday Special, Toys, Behind the Scenes, 1977-1997",View,
1/30/2016,@SuperheroSteel,Superhero Of Steel❄,"There's been an awakening, alright! 😂 #StarWars #Stormtrooper https://t.co/kzwfzNHwBz",693607374003679233,Twitter for Android,21349,14176,94,121,No,1/7/2014,Hall of Justice HQ,"Call Me 'Steel' ● 6 Days 'Til #Deadpool● 47 Days 'Til #BatmanvSuperman ● #StarWars, #StarTrek, #DC & #Marvel Fan Too! ● Geeks Rule!",View,
1/30/2016,@ohcatrina,Catrina Dennis,This is the best photo I've ever taken #starwars https://t.co/GEawAn4dA1,693607649875628032,Twitter for Android,9483,1650,42,134,No,3/4/2012,youtube.com/0hcatrina,"Host, Actress, Writer • as seen on @moviepilotnews @womanupshow @TheMarvelReport @fangirl_ND & more • @ParachuteTV1's #ForceFangirl! #hireme #comics #scifi",View,
1/30/2016,@JoanieBrosas,Joanie Brosas,Lucky number 7 today! How many times have you guys seen the new movie? #StarWars #Obsessed… https://t.co/psF3rRaQ5C,693608029460271105,Instagram,13304,586,1,27,No,8/19/2011,,"Model that likes to cosplay, wear tiny clothes, and meet new people! Visit and Like my Fan Page:",View,
1/30/2016,@JoanieBrosas,Joanie Brosas,Lucky number 7 today! How many times have you guys seen the new movie? #StarWars #Obsessed #StarWars7... https://t.co/J6tLQKGLMX,693608040805863424,Facebook,13304,586,2,17,No,8/19/2011,,"Model that likes to cosplay, wear tiny clothes, and meet new people! Visit and Like my Fan Page:",View,
1/30/2016,@jill_blonde,Jill Blonde,#StarWars #Rey Star Wars party. Super fun!! https://t.co/LCnf0Nr8UU,693609991429722114,Twitter for iPhone,3154,1310,0,20,No,6/17/2013,"Houston, Texas",Model. Actress. Bikini. Fitness. Playboy.,View,
1/30/2016,@BingeWars,Thomas Marinich,Good for you! @Burnt_Out_Darth #TeamDarkSide #StarWars https://t.co/yD3ihJQtQ9,693612548684435456,Twitter for Android,4247,1982,13,11,No,11/12/2011,,"Author of Binge Wars, a hilarious new Star Wars spoof that pokes fun of obsessive Internet fans. Available now on http://t.co/o6oBYOdgJT as an ebook.",View,
1/30/2016,@ALupi15,Andrew Lupi,"#StarWars, ice cream, and chill? https://t.co/JSED6zy7LN",693614158366019585,Twitter for iPhone,1256,595,1,8,No,2/16/2009,New York (not the city) ,"Lover of Star Wars, video games, & food. Formerly of @EUCantina. Currently thinking of my next project. Funnier than your boyfriend.",View,
1/30/2016,@tenorbuds,Markell Bailey,I love Poe Dameron 😂 #starwars #theforceawakens #poedameron #kyloren #cartoon #oscarisaac… https://t.co/i2xXVgmkCI,693614377723768832,Instagram,67105,65710,1,12,No,8/26/2011,,Actor and Singer l Fulfill Your Dreams l Instagram / Vine: @tenorbuds l https://t.co/zU5xDoR9rO,View,
1/30/2016,@mpzombie_,mpzombie,First match of #starwarsbattlefront I wasn't as bad as I expected 😂 #starwars #gamer #games… https://t.co/M08oe1vawz,693614609765249024,Instagram,244,522,1,3,No,11/10/2015,winterfell,"Gamer and entrepreneur, I’m a trained Engineer and lifelong gamer. account related to gaming, movies, cosplays and some tips of how to make money online.",View,
1/30/2016,@ClassicStarWars,Classic Star Wars,#StarWars Palitoy #BobaFett carded on Empire card https://t.co/DDyH54bPYg,693614718506790913,TweetDeck,79458,623,7,25,No,12/22/2012,"A Galaxy Far, Far Away","Classic Original Trilogy, Movies, Cartoons, Holiday Special, Toys, Behind the Scenes, 1977-1997",View,
1/30/2016,@Burnt_Out_Darth,DarthVader_No1™,Awesome youngling #StarWars #TheForceAwakens Trailer 1 Reaction Complete with @TheWookieeRoars impersonation https://t.co/wCHMjQn84b,693615243784757248,Twitter for iPhone,6377,6449,3,5,No,10/22/2015,Death Star - Milky Way Galaxy ,I am #TeamDarkSide | Never underestimate the power of the #DarkSide | #Sith | #StarWars |Nooo DM's | Death Star | Followed by @TheWookieeRoars *Parody account*,View,
